date,city,temp_avg,temp_max,temp_min,precipitation,humidity,wind_speed
2025-11-01,Riyadh,25.2,30.5,19.2,0.0,20,6.6
2025-11-02,Riyadh,24.9,30.3,19.5,0.0,15,6.9
2025-11-03,Riyadh,24.1,29.8,19.0,0.0,10,7.7
2025-11-04,Riyadh,23.3,29.4,17.2,0.0,12,8.2
2025-11-05,Riyadh,23.0,29.0,16.0,0.0,12,5.3
2025-11-06,Riyadh,23.2,29.2,15.7,0.0,13,3.0
2025-11-07,Riyadh,23.2,29.5,15.9,0.0,14,3.1
2025-11-08,Riyadh,23.5,29.7,16.1,0.0,15,3.2
2025-11-09,Riyadh,23.1,28.8,16.6,0.0,14,4.8
2025-11-10,Riyadh,22.5,27.5,16.9,0.0,17,5.3
2025-11-11,Riyadh,21.9,27.1,15.6,0.0,17,3.6
2025-11-12,Riyadh,22.5,27.6,17.0,0.0,17,2.9
2025-11-13,Riyadh,22.2,27.3,16.2,0.0,23,4.0
2025-11-14,Riyadh,22.5,28.0,16.8,0.0,18,7.9
2025-11-15,Riyadh,23.7,28.8,18.9,0.0,22,9.4
2025-11-16,Riyadh,23.8,28.1,19.6,0.0,23,9.9
2025-11-17,Riyadh,24.2,28.3,19.9,0.0,23,6.2
2025-11-18,Riyadh,23.5,27.5,19.6,0.0,25,5.9
2025-11-19,Riyadh,22.3,27.3,17.4,0.0,29,6.8
2025-11-20,Riyadh,22.7,28.1,17.6,0.0,28,6.9
2025-11-21,Riyadh,22.4,27.5,17.5,0.0,25,6.5
2025-11-22,Riyadh,20.8,25.5,16.0,0.0,27,7.1
2025-11-23,Riyadh,19.4,24.4,13.6,0.0,18,5.3
2025-11-24,Riyadh,20.2,26.0,13.5,0.0,19,4.2
2025-11-25,Riyadh,20.2,24.8,14.3,0.0,23,4.0
2025-11-26,Riyadh,20.6,25.3,15.4,0.0,31,4.3
2025-11-27,Riyadh,21.4,26.9,15.1,0.0,29,4.0
2025-11-28,Riyadh,21.7,26.9,15.7,0.0,25,4.5
2025-11-29,Riyadh,21.8,27.1,15.3,0.0,24,3.3
2025-11-30,Riyadh,21.9,27.4,15.2,0.0,26,2.3
2025-11-01,Salalah,27.9,32.6,23.5,0.0,41,4.9
2025-11-02,Salalah,27.6,32.0,23.9,0.0,46,5.1
2025-11-03,Salalah,28.0,35.1,24.0,0.0,47,4.1
2025-11-04,Salalah,28.6,36.1,23.1,0.0,35,6.1
2025-11-05,Salalah,27.3,33.9,21.4,0.0,22,8.0
2025-11-06,Salalah,26.2,31.9,20.1,0.0,31,7.2
2025-11-07,Salalah,26.2,30.0,22.8,0.0,39,6.5
2025-11-08,Salalah,26.3,32.0,21.9,0.0,57,8.3
2025-11-09,Salalah,25.9,31.1,21.5,0.0,52,7.5
2025-11-10,Salalah,25.9,33.1,20.3,0.0,36,7.2
2025-11-11,Salalah,25.9,31.5,20.7,0.0,36,5.9
2025-11-12,Salalah,25.2,29.7,20.7,0.0,55,6.1
2025-11-13,Salalah,25.1,31.6,21.0,0.0,55,8.3
2025-11-14,Salalah,25.0,29.3,21.3,0.0,50,9.4
2025-11-15,Salalah,24.7,29.2,20.5,0.0,42,7.6
2025-11-16,Salalah,24.7,28.7,20.7,0.0,62,6.8
2025-11-17,Salalah,25.1,30.1,20.4,0.0,48,8.8
2025-11-18,Salalah,25.9,32.2,21.7,0.0,44,10.5
2025-11-19,Salalah,25.0,31.9,20.8,0.0,46,8.9
2025-11-20,Salalah,24.8,31.5,20.2,0.0,48,7.7
2025-11-21,Salalah,25.2,31.7,21.0,0.0,49,7.7
2025-11-22,Salalah,26.1,32.8,21.5,0.0,47,9.1
2025-11-23,Salalah,25.8,33.3,20.9,0.0,49,9.7
2025-11-24,Salalah,25.5,33.1,20.4,0.0,46,8.2
2025-11-25,Salalah,24.8,32.0,19.2,0.0,38,7.0
2025-11-26,Salalah,24.6,29.1,20.3,0.0,46,5.9
2025-11-27,Salalah,23.4,27.4,19.6,0.0,61,7.2
2025-11-28,Salalah,24.5,30.2,20.7,0.2,58,6.2
