weather_id,temp_avg,temp_max,temp_min,precipitation,humidity,wind_speed,city_key,date_key
1,13.8,17.6,9.7,0.0,34,8.6,1,20250101
2,21.9,26.2,17.7,0.0,68,6.1,2,20250101
3,8.1,12.6,5.1,0.0,78,2.9,3,20250101
4,5.9,9.0,3.0,0.0,90,3.3,4,20250101
5,9.0,11.8,5.3,10.5,87,21.8,5,20250101
6,4.8,10.7,1.2,0.0,42,14.3,6,20250101
7,0.6,7.5,-3.3,0.0,87,4.6,7,20250101
8,14.7,20.0,9.9,0.0,64,5.2,8,20250101
9,21.9,28.7,15.8,0.0,27,14.4,9,20250101
10,12.3,15.9,8.4,0.0,37,7.5,1,20250102
11,23.4,27.8,19.9,0.0,47,21.5,2,20250102
12,7.7,12.0,3.7,0.0,66,5.9,3,20250102
13,8.4,10.6,5.7,0.0,84,10.8,4,20250102
14,2.1,4.4,-0.4,0.0,86,7.6,5,20250102
15,4.8,8.7,0.5,11.3,58,20.6,6,20250102
16,3.1,8.1,-0.8,13.0,77,12.6,7,20250102
17,15.3,20.0,11.2,0.0,57,10.6,8,20250102
18,22.6,29.6,16.3,0.0,29,13.0,9,20250102
19,11.2,15.1,7.0,0.0,36,7.3,1,20250103
20,21.1,24.5,18.1,0.0,21,34.6,2,20250103
21,7.5,13.5,3.3,0.0,54,7.6,3,20250103
22,11.6,13.7,10.1,0.0,73,21.0,4,20250103
23,0.3,3.4,-1.3,0.0,86,8.7,5,20250103
24,-0.8,0.4,-2.0,1.8,87,14.4,6,20250103
25,-0.2,1.0,-2.0,2.9,88,6.2,7,20250103
26,15.5,20.2,11.2,0.0,55,11.3,8,20250103
27,24.2,31.2,17.3,0.0,31,10.1,9,20250103
28,11.7,17.2,5.6,0.0,26,3.3,1,20250104
29,19.5,23.3,15.4,0.0,19,30.9,2,20250104
30,8.7,14.2,3.5,0.0,49,4.5,3,20250104
31,9.2,11.9,6.5,11.2,84,17.0,4,20250104
32,0.7,3.2,-1.7,1.8,88,6.8,5,20250104
33,-3.7,-0.3,-7.9,0.0,77,7.0,6,20250104
34,-1.9,0.3,-3.8,0.0,81,3.1,7,20250104
35,16.8,22.2,12.6,0.0,38,9.7,8,20250104
36,26.0,33.6,18.7,0.0,35,6.9,9,20250104
37,13.4,19.0,7.5,0.0,26,5.5,1,20250105
38,20.6,24.7,16.9,0.0,34,25.9,2,20250105
39,9.2,14.4,4.6,0.0,53,6.6,3,20250105
40,7.3,9.1,6.1,0.0,76,10.9,4,20250105
41,7.7,12.6,0.7,23.5,94,17.9,5,20250105
42,2.8,8.2,-3.3,15.4,83,12.3,6,20250105
43,1.7,4.2,-0.7,15.6,92,4.6,7,20250105
44,15.6,20.1,12.5,0.0,44,9.3,8,20250105
45,26.1,32.9,19.8,0.0,36,9.8,9,20250105
46,14.4,19.3,9.3,0.0,21,11.0,1,20250106
47,20.9,26.1,15.8,0.0,43,11.7,2,20250106
48,10.3,14.9,6.8,1.3,62,7.9,3,20250106
49,7.8,9.2,5.6,0.0,86,7.4,4,20250106
50,7.3,12.0,2.5,7.4,86,21.5,5,20250106
51,5.1,11.1,1.1,0.0,75,9.5,6,20250106
52,4.9,9.2,1.6,6.1,80,6.4,7,20250106
53,16.9,22.5,12.3,0.0,71,8.7,8,20250106
54,22.4,28.2,16.9,0.0,20,14.0,9,20250106
