date,city,temp_avg,temp_max,temp_min,precipitation,humidity,wind_speed
2025-01-01,Amman,8.1,12.6,5.1,0.0,78,2.9
2025-01-01,Cairo,14.7,20.0,9.9,0.0,64,5.2
2025-01-01,Istanbul,5.9,9.0,3.0,0.0,90,3.3
2025-01-01,Khartoum,21.9,28.7,15.8,0.0,27,14.4
2025-01-01,London,9.0,11.8,5.3,10.5,87,21.8
2025-01-01,Munich,4.8,10.7,1.2,0.0,42,14.3
2025-01-01,Riyadh,13.8,17.6,9.7,0.0,34,8.6
2025-01-01,Salalah,21.9,26.2,17.7,0.0,68,6.1
2025-01-01,Zurich,0.6,7.5,-3.3,0.0,87,4.6
2025-01-02,Amman,7.7,12.0,3.7,0.0,66,5.9
2025-01-02,Cairo,15.3,20.0,11.2,0.0,57,10.6
2025-01-02,Istanbul,8.4,10.6,5.7,0.0,84,10.8
2025-01-02,Khartoum,22.6,29.6,16.3,0.0,29,13.0
2025-01-02,London,2.1,4.4,-0.4,0.0,86,7.6
2025-01-02,Munich,4.8,8.7,0.5,11.3,58,20.6
2025-01-02,Riyadh,12.3,15.9,8.4,0.0,37,7.5
2025-01-02,Salalah,23.4,27.8,19.9,0.0,47,21.5
2025-01-02,Zurich,3.1,8.1,-0.8,13.0,77,12.6
2025-01-03,Amman,7.5,13.5,3.3,0.0,54,7.6
2025-01-03,Cairo,15.5,20.2,11.2,0.0,55,11.3
2025-01-03,Istanbul,11.6,13.7,10.1,0.0,73,21.0
2025-01-03,Khartoum,24.2,31.2,17.3,0.0,31,10.1
2025-01-03,London,0.3,3.4,-1.3,0.0,86,8.7
2025-01-03,Munich,-0.8,0.4,-2.0,1.8,87,14.4
2025-01-03,Riyadh,11.2,15.1,7.0,0.0,36,7.3
2025-01-03,Salalah,21.1,24.5,18.1,0.0,21,34.6
2025-01-03,Zurich,-0.2,1.0,-2.0,2.9,88,6.2
2025-01-04,Amman,8.7,14.2,3.5,0.0,49,4.5
2025-01-04,Cairo,16.8,22.2,12.6,0.0,38,9.7
2025-01-04,Istanbul,9.2,11.9,6.5,11.2,84,17.0
2025-01-04,Khartoum,26.0,33.6,18.7,0.0,35,6.9
2025-01-04,London,0.7,3.2,-1.7,1.8,88,6.8
2025-01-04,Munich,-3.7,-0.3,-7.9,0.0,77,7.0
2025-01-04,Riyadh,11.7,17.2,5.6,0.0,26,3.3
2025-01-04,Salalah,19.5,23.3,15.4,0.0,19,30.9
2025-01-04,Zurich,-1.9,0.3,-3.8,0.0,81,3.1
2025-01-05,Amman,9.2,14.4,4.6,0.0,53,6.6
2025-01-05,Cairo,15.6,20.1,12.5,0.0,44,9.3
2025-01-05,Istanbul,7.3,9.1,6.1,0.0,76,10.9
2025-01-05,Khartoum,26.1,32.9,19.8,0.0,36,9.8
2025-01-05,London,7.7,12.6,0.7,23.5,94,17.9
2025-01-05,Munich,2.8,8.2,-3.3,15.4,83,12.3
2025-01-05,Riyadh,13.4,19.0,7.5,0.0,26,5.5
2025-01-05,Salalah,20.6,24.7,16.9,0.0,34,25.9
2025-01-05,Zurich,1.7,4.2,-0.7,15.6,92,4.6
2025-01-06,Amman,10.3,14.9,6.8,1.3,62,7.9
2025-01-06,Cairo,16.9,22.5,12.3,0.0,71,8.7
2025-01-06,Istanbul,7.8,9.2,5.6,0.0,86,7.4
2025-01-06,Khartoum,22.4,28.2,16.9,0.0,20,14.0
2025-01-06,London,7.3,12.0,2.5,7.4,86,21.5
2025-01-06,Munich,5.1,11.1,1.1,0.0,75,9.5
2025-01-06,Riyadh,14.4,19.3,9.3,0.0,21,11.0
2025-01-06,Salalah,20.9,26.1,15.8,0.0,43,11.7
2025-01-06,Zurich,4.9,9.2,1.6,6.1,80,6.4
2025-01-07,Amman,7.7,12.0,4.3,0.0,64,8.2
2025-01-07,Cairo,16.4,20.7,12.4,0.0,67,6.6
2025-01-07,Istanbul,11.7,14.0,9.2,0.0,77,16.5
2025-01-07,Khartoum,21.9,29.1,14.7,0.0,28,9.7
2025-01-07,London,2.4,4.9,0.7,0.1,82,11.2
2025-01-07,Munich,3.8,6.3,2.5,3.8,83,16.2
2025-01-07,Riyadh,15.9,20.8,11.9,1.5,31,6.3
2025-01-07,Salalah,21.8,26.1,16.8,0.0,61,7.4
2025-01-07,Zurich,4.1,5.9,1.7,3.2,81,14.1
2025-01-08,Amman,8.0,12.7,3.6,0.0,65,9.0
2025-01-08,Cairo,16.2,22.3,11.0,0.0,50,8.5
2025-01-08,Istanbul,13.7,15.1,12.5,0.0,76,17.4
2025-01-08,Khartoum,24.0,31.0,17.2,0.0,31,8.4
2025-01-08,London,0.6,1.8,-0.8,3.0,93,7.5
2025-01-08,Munich,1.7,2.8,0.7,7.7,91,8.7
2025-01-08,Riyadh,12.3,15.2,8.9,0.0,64,10.1
2025-01-08,Salalah,22.2,26.8,18.5,0.0,65,7.6
2025-01-08,Zurich,3.0,6.8,0.3,8.8,92,5.9
2025-01-09,Amman,9.0,13.5,5.3,0.0,60,12.8
2025-01-09,Cairo,16.3,22.9,9.5,0.0,45,4.2
2025-01-09,Istanbul,12.6,14.7,11.3,0.0,81,9.6
2025-01-09,Khartoum,24.3,31.3,17.0,0.0,27,8.3
2025-01-09,London,1.0,3.0,-0.9,0.6,88,9.7
2025-01-09,Munich,5.9,11.2,0.5,4.1,83,14.7
2025-01-09,Riyadh,12.2,15.7,8.4,0.0,66,7.8
2025-01-09,Salalah,23.3,29.1,18.7,0.0,46,11.2
2025-01-09,Zurich,4.7,9.9,0.1,14.1,87,12.5
2025-01-10,Amman,9.1,14.5,4.5,0.0,59,9.4
2025-01-10,Cairo,15.8,20.7,12.2,0.0,51,6.9
2025-01-10,Istanbul,11.8,13.9,9.7,0.0,80,9.0
2025-01-10,Khartoum,23.1,29.4,16.9,0.0,29,10.5
2025-01-10,London,-0.7,1.4,-2.0,0.0,90,3.8
2025-01-10,Munich,-0.5,1.9,-2.3,0.0,75,13.3
2025-01-10,Riyadh,13.8,19.2,8.1,0.0,53,4.3
2025-01-10,Salalah,22.2,26.8,17.6,0.0,35,15.3
2025-01-10,Zurich,0.7,2.9,-1.3,0.2,82,4.5
2025-01-11,Amman,9.8,13.0,7.1,0.1,77,12.4
2025-01-11,Cairo,15.8,20.4,11.7,0.5,71,6.3
2025-01-11,Istanbul,9.0,12.6,6.7,8.7,88,14.6
